ALB;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
285107;Chief of Staff;Nazim Dedolli;1942;1964;PA;School of Fire Support;Medium;M32066;X
285108;Chief of Staff;Hajrë Dizdari;1942;1964;SC;School of Defence;Medium;M32090;X
285109;Chief of Staff;Xhelal Mitrovica;1943;1964;SC;School of Manoeuvre;Medium;M32091;X
285110;Chief of Staff;Sokrat Agolli;1944;1964;SC;School of Psychology;Medium;M32149;X
285111;Chief of Staff;Shefqet Vërlaci;1940;1964;FA;School of Psychology;High;M32047;X
285112;Chief of Staff;Kol Mirakaj;1941;1964;FA;School of Manoeuvre;High;M32074;X
285113;Chief of Staff;Kristo Cajupi;1942;1964;FA;School of Mass Combat;Medium;M32145;X
285114;Chief of Staff;Mehmet Shehu;1939;1964;ST;School of Mass Combat;Very High;M32017;X
285115;Chief of Staff;Zuhdi Shabani;1942;1964;ST;School of Manoeuvre;Low;M32121;X
285116;Chief of Staff;Prenk Pervizi;1944;1964;ST;School of Fire Support;Very High;M32156;X
285117;Chief of Army;Selim Moishiou;1938;1964;PA;Elastic Defence Doctrine;Medium;M32018;X
285118;Chief of Army;Kristo Cajupi;1939;1964;PA;Static Defence Doctrine;Medium;M32145;X
285119;Chief of Army;Sokrat Agolli;1942;1964;PA;Guns and Butter Doctrine;Medium;M32149;X
285120;Chief of Army;Alexander Mori;1944;1964;PA;Decisive Battle Doctrine;Medium;M32161;X
285121;Chief of Army;Hajrë Dizdari;1942;1964;SC;Decisive Battle Doctrine;Medium;M32090;X
285122;Chief of Army;Xhelal Mitrovica;1944;1964;SC;Guns and Butter Doctrine;Medium;M32091;X
285123;Chief of Army;Mustafa Mërlika;1945;1964;SL;Static Defence Doctrine;Medium;M32057;X
285124;Chief of Army;Qemal Komani;1933;1964;FA;Armoured Spearhead Doctrine;Medium;M32007;X
285125;Chief of Army;Kol Mirakaj;1942;1964;FA;Elastic Defence Doctrine;High;M32074;X
285126;Chief of Army;Mehmet Shehu;1939;1964;ST;Guns and Butter Doctrine;Very High;M32017;X
285127;Chief of Army;Hassan Shqabi;1942;1964;ST;Decisive Battle Doctrine;High;M32077;X
285128;Chief of Army;Prenk Pervizi;1944;1964;ST;Elastic Defence Doctrine;Very High;M32156;X
285129;Chief of Army;Aziz Sulejmani;1945;1964;ST;Armoured Spearhead Doctrine;Low;M32040;X
285130;Chief of Navy;Rexhep Mitrovica;1940;1964;PA;Indirect Approach Doctrine;Medium;M32046;X
285131;Chief of Navy;Sthfphen Delvinë;1941;1964;PA;Base Control Doctrine;Medium;M32020;X
285132;Chief of Navy;Nazim Dedolli;1942;1964;PA;Decisive Naval Battle Doctrine;Medium;M32066;X
285133;Chief of Navy;Nexhip Deva;1944;1964;PA;Power Projection Doctrine;Medium;M32107;X
285134;Chief of Navy;Xhelal Mitrovica;1942;1964;SC;Base Control Doctrine;Medium;M32091;X
285135;Chief of Navy;Hajrë Dizdari;1944;1964;SC;Decisive Naval Battle Doctrine;Medium;M32090;X
285136;Chief of Navy;Ismael Ghaxa;1939;1964;FA;Open Seas Doctrine;Medium;M32029;X
285137;Chief of Navy;Hasan Begolli;1942;1964;FA;Power Projection Doctrine;High;M32073;X
285138;Chief of Navy;Hajrë Fetahu;1939;1964;ST;Decisive Naval Battle Doctrine;Very High;M32039;X
285139;Chief of Navy;Enver Hoxha;1942;1964;ST;Open Seas Doctrine;Medium;M32034;X
285140;Chief of Navy;Halil Nergutti;1944;1964;ST;Power Projection Doctrine;Medium;M32109;X
285141;Chief of Air Force;Fiqri Dine;1942;1964;PA;Army Aviation Doctrine;Medium;M32043;X
285142;Chief of Air Force;Nexhip Deva;1944;1964;PA;Carpet Bombing Doctrine;Medium;M32107;X
285143;Chief of Air Force;Ahmad Zhahir;1945;1964;PA;Air Superiority Doctrine;Medium;M32127;X
285144;Chief of Air Force;Xhelal Mitrovica;1942;1964;SC;Air Superiority Doctrine;Medium;M32091;X
285145;Chief of Air Force;Sokrat Agolli;1944;1964;SC;Army Aviation Doctrine;Medium;M32149;X
285146;Chief of Air Force;Sthfphen Delvinë;1939;1964;FA;Naval Aviation Doctrine;Medium;M32020;X
285147;Chief of Air Force;Eqrem Libohova;1940;1964;FA;Carpet Bombing Doctrine;High;M32048;X
285148;Chief of Air Force;Nuhi Berisha;1941;1964;FA;Army Aviation Doctrine;High;M32075;X
285149;Chief of Air Force;Hasan Begolli;1942;1964;FA;Vertical Envelopment Doctrine;High;M32073;X
285150;Chief of Air Force;Aziz Sulejmani;1939;1964;ST;Vertical Envelopment Doctrine;Low;M32040;X
285151;Chief of Air Force;Enver Hoxha;1942;1964;ST;Carpet Bombing Doctrine;Medium;M32034;X
285152;Chief of Air Force;Hajrë Fetahu;1943;1964;ST;Air Superiority Doctrine;Very High;M32039;X
285153;Chief of Air Force;Prenk Pervizi;1944;1964;ST;Naval Aviation Doctrine;Very High;M32156;X
285154;Chief of Air Force;Zuhdi Shabani;1945;1964;ST;Army Aviation Doctrine;Low;M32121;X
285155;Chief of Army;Mustafa Ndroqi;1914;1933;PA;Decisive Battle Doctrine;Medium;unknown;X
285156;Chief of Staff;Qamil Musa Haxhi Feza;1914;1933;PA;School of Defence;Medium;unknown;X
285157;Foreign Minister;Turhan Përmeti;1914;1933;PA;Apologetic Clerk;Medium;2143;X
285158;Foreign Minister;Prenk Doda;1914;1933;PA;Iron Fisted Brute;Medium;2144;X
285159;Foreign Minister;Mehmet Konica;1914;1933;PA;Great Compromiser;Medium;5923;X
285160;Foreign Minister;Iljaz Vrioni;1921;1933;PA;Ideological Crusader;Medium;5924;X
285161;Foreign Minister;Pandeli Evangjeli;1921;1933;PA;Biased Intellectual;Medium;2145;X
285162;Foreign Minister;Fan Stylia Noli;1921;1933;PA;Great Compromiser;Medium;2146;X
285163;Foreign Minister;Xhafer Villa;1921;1933;PA;Iron Fisted Brute;Medium;5925;X
285164;Foreign Minister;Xhafer Ypi;1922;1933;PA;Great Compromiser;Medium;5926;X
285165;Foreign Minister;Sulejman Delvina;1924;1933;PA;Iron Fisted Brute;Medium;2147;X
285166;Head of Government;Turhan Përmeti;1914;1933;PA;Old General;High;2143;X
285167;Head of Government;Suleiman Delvina;1920;1933;PA;Political Protege;High;2147;X
285168;Head of Government;Iljaz Vrioni;1920;1933;PA;Silent Workhorse;High;5924;X
285169;Head of Government;Pandeli Evangjeli;1921;1933;PA;Smiling Oilman;High;2145;X
285170;Head of Government;Qazim Koculi;1921;1933;PA;Ambitious Union Boss;High;2148;X
285171;Head of Government;Hasan Prishtina;1921;1933;PA;Backroom Backstabber;High;5927;X
285172;Head of Government;Idhomene Kosturi;1921;1933;PA;Corporate Suit;High;unknown;X
285173;Head of Government;Xhafer Ypi;1921;1933;PA;Flamboyant Tough Guy;High;5926;X
285174;Head of Government;Ahmet Muhtar Zogolli;1922;1933;PA;Happy Amateur;High;2149;X
285175;Head of Government;Shefqet Vërlaci;1924;1933;PA;Naive Optimist;High;2150;X
285176;Head of Government;Iljaz Vrioni;1924;1933;PA;Political Protege;High;5924;X
285177;Head of Government;Fan Stylia Noli;1924;1933;PA;Happy Amateur;Medium;2146;X
285178;Head of State;Esat Toptani;1914;1921;PA;Autocratic Charmer;High;2151;X
285179;Head of State;Vidit I;1914;1933;PA;Benevolent Gentleman;High;2152;X
285180;Head of State;Prenk Doda;1914;1933;PA;Ruthless Powermonger;High;2144;X
285181;Head of State;Ahmed Izzet;1914;1933;PA;autocratic charmer;High;2153;X
285182;Head of State;Nicholas;1914;1933;PA;Popular Figurehead;High;2154;X
285183;Head of State;Mehmed V;1914;1933;PA;Popular Figurehead;Very High;2155;X
285184;Minister of Armament;Gaqi Adhamidhi;1914;1933;PA;Corrupt Kleptocrat;Medium;unknown;X
285185;Minister of Armament;Filip Noga;1914;1933;PA;Resource Industrialist;Very High;unknown;X
285186;Minister of Armament;Ndoc Çoba;1920;1933;PA;Military Entrepreneur;Medium;2156;X
285187;Minister of Armament;Tef Curani;1921;1933;PA;Resource Industrialist;Very High;unknown;X
285188;Minister of Armament;Amet Dakli;1921;1933;PA;Military Entrepreneur;Medium;unknown;X
285189;Minister of Armament;Sulejman Starova;1921;1933;PA;Resource Industrialist;Very High;unknown;X
285190;Minister of Armament;Kolë Thaçi;1921;1933;PA;Military Entrepreneur;Medium;unknown;X
285191;Minister of Armament;Myfit Libohova;1924;1933;ML;Laissez-Faire Capitalist;Medium;5928;X
285192;Minister of Armament;Luigi Gurakuqi;1924;1933;PA;Resource Industrialist;Medium;2157;X
285193;Minister of Armament;Fejzi Alizoti;1918;1933;PA;Military Entrepreneur;Medium;5929;X
285194;Minister of Security;Esat Toptani;1914;1921;PA;Crime Fighter;Medium;2151;X
285195;Minister of Security;Aqif Biçaku;1914;1933;PA;Prince of Terror;Medium;5930;X
285196;Minister of Security;Ahmet Muhtar Zogolli;1920;1933;PA;crooked kleptocrat;Medium;2149;X
285197;Minister of Security;Xhafer Ypi;1920;1933;PA;Crime Fighter;Medium;5926;X
285198;Minister of Security;Sulejman Delvina;1920;1933;PA;Crime Fighter;Medium;2147;X
285199;Minister of Security;Bajram Fevziu;1921;1933;ML;Silent Lawyer;Medium;unknown;X
285200;Minister of Security;Luigj Gurakuqi;1921;1933;ML;Compassionate Gentleman;Very High;2157;X
285201;Minister of Security;Rauf Fico;1921;1933;PA;Crime Fighter;Medium;unknown;X
285202;Minister of Security;Sefji Vllamasi;1923;1933;PA;Prince of Terror;Medium;unknown;X
285203;Minister of Security;Shefqet Vërlaci;1924;1933;PA;Crime Fighter;Medium;2150;X
285204;Minister of Security;Abdurrahman Dibra;1924;1933;ML;Silent Lawyer;Medium;unknown;X
285205;Minister of Security;Rexhep Shala;1924;1933;PA;Prince of Terror;Medium;unknown;X
