BLR;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
470022;Foreign Minister;Iuri Shurevich;1933;1964;NS;Biased Intellectual;High;M517022;X
470023;Foreign Minister;Wilhelm Kube;1933;1964;NS;The Cloak N Dagger Schemer;High;M517023;X
470024;Minister of Armament;Vasiliy F. Sharangovich;1933;1964;LE;Resource Industrialist;Medium;M517024;X
470025;Minister of Armament;Mikhail Bonch-Bruevich;1933;1964;SD;Tank Proponent;Medium;M517025;X
470026;Minister of Armament;Mikola Abramchyk;1933;1964;SC;Theoretical Scientist;Medium;M517026;X
470027;Minister of Armament;Radion Survilla;1933;1964;NS;laissez-faire capitalist;Medium;M517012;X
470028;Minister of Armament;Karl Lander;1933;1964;NS;Military Entrepreneur;Medium;M517017;X
470029;Minister of Security;Aleksandr I. Krivitsky;1933;1964;LE;Compassionate Gentleman;Medium;M517029;X
470030;Minister of Security;Nikolay F. Gikalo;1933;1964;LE;Back Stabber;Medium;M517030;X
470031;Minister of Security;Mikhail Bonch-Bruevich;1933;1964;LE;Man of the People;Medium;M517025;X
470032;Minister of Security;Aleksander Osatkin-Vladimirsky;1933;1964;SD;Crime Fighter;Medium;M517004;X
470033;Minister of Security;Larysa Hienijush;1933;1964;SC;Efficient Sociopath;Medium;M517033;X
470034;Minister of Security;Curt von Gottberg;1933;1964;NS;Prince of Terror;Medium;M517034;X
470035;Minister of Security;Constantine Voskoboinikov;1933;1964;NS;Silent Lawyer;Medium;M517035;X
470036;Head of Military Intelligence;Panteleion Ponomarenko;1933;1964;LE;Industrial Specialist;Medium;M517036;X
470037;Head of Military Intelligence;Aleksandr I. Krivitsky;1933;1964;SD;Political Specialist;Medium;M517029;X
470038;Head of Military Intelligence;Karl Lander;1933;1964;SD;Dismal Enigma;Medium;M517017;X
470039;Head of Military Intelligence;Iuri Shurevich;1933;1964;SC;Technical Specialist;Medium;M517022;X
470040;Head of Military Intelligence;Mikhail Bonch-Bruevich;1933;1964;NS;Technical Specialist;Medium;M517025;X
470041;Head of Military Intelligence;Yurij B. Gamarnik;1933;1964;NS;Political Specialist;Medium;M517005;X
470042;Head of Military Intelligence;Walter Darré;1933;1964;NS;Logistics Specialist;Medium;M517042;X
470043;Chief of Staff;Vladimir I. Cheryakov;1933;1964;SD;School of Fire Support;Medium;M517010;X
470044;Chief of Staff;Yurij B. Gamarnik;1933;1964;SC;School of Psychology;Medium;M517005;X
470045;Chief of Staff;Vassilyi Suerata;1933;1964;NS;School of Defence;Medium;M517045;X
470046;Chief of Army;Serafim Pokrovski;1933;1964;SD;Static Defence Doctrine;Medium;M517007;X
470047;Chief of Army;Jozef Dowbor-Musnicki;1933;1964;SC;Decisive Battle Doctrine;Medium;M517047;X
470048;Chief of Army;Bronislav Kaminski;1933;1964;NS;Guns and Butter Doctrine;Medium;M517048;X
470049;Chief of Navy;Aleksandr Iziumov;1933;1964;SD;Base Control Doctrine;Medium;M517049;X
470050;Chief of Navy;Friedrich Wilhelm Kurzr;1933;1964;SC;Open Seas Doctrine;Medium;M517050;X
470051;Chief of Navy;Erhard Märtens;1933;1964;NS;Base Control Doctrine;Medium;M517051;X
470052;Chief of Air Force;Nikolay F. Gikalo;1933;1964;SD;Army Aviation Doctrine;Medium;M517030;X
470053;Chief of Air Force;Aleksandr Iziumov;1933;1964;SC;Vertical Envelopment Doctrine;Medium;M517049;X
470054;Chief of Air Force;Hans Baur;1933;1964;NS;Air Superiority Doctrine;Medium;M517054;X
470055;Chief of Army;Anton Sokól-Kutylowski;1920;1933;LE;Armoured Spearhead Doctrine;Medium;unknown;X
470056;Chief of Army;Stanislaw Bulak-Balachowicz;1920;1933;PA;Armoured Spearhead Doctrine;Medium;5960;X
470057;Chief of Staff;Kanstantyn Jezawitaw;1914;1933;ML;School of Psychology;Medium;unknown;X
470058;Chief of Staff;Anton Sokól-Kutylowski;1920;1933;LE;School of Psychology;Medium;unknown;X
470059;Chief of Staff;Wasyl Zacharka;1918;1933;ML;School of Psychology;Medium;6948;X
470060;Chief of Staff;Lavon Zajac;1918;1933;ML;School of Psychology;Medium;unknown;X
470061;Chief of Staff;Stanislaw Bulak-Balachowicz;1920;1933;PA;School of Psychology;Medium;5960;X
470062;Foreign Minister;Anton Luckiewicz;1914;1933;ML;Great Compromiser;High;unknown;X
470063;Foreign Minister;Jan Makreje;1918;1933;ML;Great Compromiser;High;unknown;X
470064;Foreign Minister;A. Ladnou;1919;1933;ML;Great Compromiser;High;unknown;X
470065;Head of Government;Anton Luckiewicz;1914;1933;ML;Naive Optimist;High;unknown;X
470066;Head of Government;Zmicier Zylunowicz;1917;1933;ST;Naive Optimist;High;unknown;X
470067;Head of Government;Waclaw Lastouski;1917;1933;ML;Naive Optimist;High;5961;X
470068;Head of Government;Wiaczaslau Adamowicz;1919;1933;PA;Naive Optimist;High;unknown;X
470069;Head of State;Jazep Losik;1914;1933;ML;Autocratic Charmer;High;5962;X
470070;Head of State;Piotr Kreczeuski;1919;1933;ML;Autocratic Charmer;High;5963;X
470071;Head of State;Jan Sierada;1918;1933;ML;Autocratic Charmer;High;5964;X
470072;Head of State;Stanislaw Bulak-Balachowicz;1919;1933;ML;Autocratic Charmer;High;5960;X
470073;Minister of Armament;Wasyl Zacharka;1914;1933;ML;Infantry Proponent;Medium;6948;X
470074;Minister of Armament;E. Bialewicz;1919;1933;ML;Infantry Proponent;Medium;unknown;X
470075;Minister of Security;Alaksandar Cwikiewicz;1914;1933;ML;Prince of Terror;Medium;unknown;X
470076;Minister of Security;Pawel Aleksiuk;1919;1933;ML;Prince of Terror;Medium;unknown;X
470077;Minister of Security;Alaksandar Cwikiewicz;1918;1933;ML;Prince of Terror;Medium;unknown;X
470078;Minister of Security;Tamas Hryb;1919;1933;ML;Prince of Terror;Medium;unknown;X
470079;Head of State;Jazep Waronka;1918;1964;ML;Autocratic Charmer;High;unknown;X
470080;Chief of Army;Cyprian Kondratowicz;1920;1964;PA;Armoured Spearhead Doctrine;High;unknown;X
