HAI;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
350068;Chief of Staff;Franck Lavaud;1941;1964;SC;School of Psychology;Medium;M78035;X
350069;Chief of Staff;Antoine Levelt;1946;1964;SC;School of Manoeuvre;High;M78075;X
350070;Chief of Staff;Andre Dumont;1937;1964;SL;School of Manoeuvre;Medium;M78052;X
350071;Chief of Staff;Paul Magloire;1946;1964;SL;School of Mass Combat;Medium;M78043;X
350072;Chief of Staff;Antioche Benot;1937;1964;LWR;School of Defence;Medium;M78027;X
350073;Chief of Army;Franck Lavaud;1941;1964;SC;Elastic Defence Doctrine;Medium;M78035;X
350074;Chief of Army;Antoine Levelt;1946;1964;SC;Armoured Spearhead Doctrine;High;M78075;X
350075;Chief of Army;Andre Dumont;1937;1964;SL;Decisive Battle Doctrine;Medium;M78052;X
350076;Chief of Army;Paul Magloire;1946;1964;SL;Guns and Butter Doctrine;Medium;M78043;X
350077;Chief of Army;Franck Lavaud;1946;1964;PA;Elastic Defence Doctrine;Medium;M78035;X
350078;Chief of Army;Ernst Severe;1937;1964;LWR;Guns and Butter Doctrine;Medium;M78028;X
350079;Chief of Navy;Georges Léger;1937;1964;SC;Base Control Doctrine;High;M78046;X
350080;Chief of Navy;André Sainté Frederic;1937;1964;SL;Power Projection Doctrine;Medium;M78106;X
350081;Chief of Navy;Raymond Gassner;1937;1964;LWR;Power Projection Doctrine;Medium;M78029;X
350082;Chief of Air Force;André Sainté Frederic;1941;1964;SC;Naval Aviation Doctrine;Medium;M78106;X
350083;Chief of Air Force;Pascalé B.G. Guillaume;1937;1964;SL;Vertical Envelopment Doctrine;Medium;M78020;X
350084;Chief of Air Force;Antoine Levelt;1946;1964;PA;Carpet Bombing Doctrine;High;M78075;X
350085;Chief of Air Force;Belmeau Max-Pierre;1937;1964;LWR;Vertical Envelopment Doctrine;Medium;M78076;X
350086;Chief of Air Force;Charles H. Forbin;1946;1964;LWR;Air Superiority Doctrine;Medium;M78030;X
350087;Foreign Minister;Leon Laleau;1938;1964;SC;Ideological Crusader;High;M78115;X
350088;Head of State;Paul Magloire;1950;1964;PA;Ruthless Powermonger;High;M78043;X
350089;Head of Government;Oreste Zamor;1914;1933;PA;Naive Optimist;Medium;8009;X
350090;Head of Government;Joseph Davilmar Théodore;1914;1933;PA;Ambitious Union Boss;Medium;unknown;X
350091;Head of Government;Vilbrun Guillaume Sam;1914;1933;PA;Political Protege;Medium;8013;X
350092;Head of Government;Philippe Sudré Dartiguenave;1914;1933;PA;Silent Workhorse;Medium;8010;X
350093;Head of Government;Louis Borno;1915;1933;PA;Happy Amateur;Medium;8000;X
350098;Head of State;Oreste Zamor;1914;1933;PA;Die-hard Reformer;Medium;8009;X
350099;Head of State;Joseph Davilmar Théodore;1914;1917;PA;Weary Stiffneck;Medium;unknown;X
350100;Head of State;Vilbrun Guillaume Sam;1914;1915;PA;powerhungry demagogue;Medium;8013;X
350101;Head of State;Philippe Sudré Dartiguenave;1914;1926;PA;Stern Imperialist;Medium;8010;X
350102;Head of State;Louis Borno;1915;1933;PA;Ruthless Powermonger;Medium;8000;X
350103;Foreign Minister;Jacques Nicolas Léger;1914;1933;PA;Biased Intellectual;Medium;8007;X
350104;Foreign Minister;Gaston Dalencourt;1914;1933;PA;Apologetic Clerk;Medium;unknown;X
350105;Foreign Minister;Justin Bar;1914;1933;PA;Great Compromiser;Medium;8008;X
350106;Foreign Minister;Tertullian Guilbeaud;1914;1933;PA;Iron Fisted Brute;Medium;8012;X
350107;Minister of Armament;Ermane Robin;1914;1933;PA;Administrative Genius;Medium;unknown;X
350108;Minister of Armament;F. Baufossé Laroche;1914;1921;PA;laissez-faire capitalist;Medium;unknown;X
350109;Minister of Armament;Diogène Délinois;1914;1933;PA;Strategic Air Proponent;Medium;unknown;X
350110;Minister of Armament;Ernest Laporte;1914;1933;PA;Resource Industrialist;Medium;8005;X
350111;Minister of Security;Edmond Lespinasse;1914;1933;PA;Back Stabber;Medium;8003;X
350112;Minister of Security;Edouard Latortue;1914;1933;PA;Crooked Kleptocrat;Medium;8004;X
350113;Minister of Security;Stephen Dorneval;1914;1933;PA;Efficient Sociopath;Medium;unknown;X
350114;Minister of Security;Seymour Pradel;1914;1933;PA;Silent Lawyer;Medium;8011;X
350115;Minister of Security;Fercy Chatelain;1914;1933;PA;Back Stabber;Medium;8006;X
350116;Head of Military Intelligence;Charles Zamor;1914;1933;PA;Logistics Specialist;Medium;unknown;X
350117;Head of Military Intelligence;Constantin Benoit;1914;1933;PA;Naval Intelligence Specialist;Medium;8001;X
350118;Head of Military Intelligence;Edmond Dupuy;1914;1933;PA;Technical Specialist;Medium;8002;X
350119;Chief of Staff;Edmond Polynice;1914;1933;PA;School of Manoeuvre;Medium;unknown;X
350120;Chief of Staff;Charles Zamor;1914;1933;PA;School of Manoeuvre;Medium;unknown;X
350121;Chief of Staff;Oreste Zamor;1914;1931;PA;School of Mass Combat;Medium;8009;X
350122;Chief of Army;Edmond Polynice;1914;1933;PA;Guns and Butter Doctrine;Medium;unknown;X
350123;Chief of Army;Charles Zamor;1914;1931;PA;Elastic Defence Doctrine;Medium;unknown;X
350124;Chief of Army;Oreste Zamor;1914;1933;PA;Guns and Butter Doctrine;Medium;8009;X
350125;Chief of Navy;Edmond Polynice;1914;1933;PA;Base Control Doctrine;Medium;unknown;X
350126;Chief of Navy;Charles Zamor;1914;1933;PA;Power Projection Doctrine;Medium;unknown;X
350127;Chief of Navy;Oreste Zamor;1914;1931;PA;Power Projection Doctrine;Medium;8009;X
350128;Chief of Air Force;Edmond Polynice;1914;1933;PA;Vertical Envelopment Doctrine;Medium;unknown;X
350129;Chief of Air Force;Charles Zamor;1914;1933;PA;Carpet Bombing Doctrine;Medium;unknown;X
350130;Chief of Air Force;Oreste Zamor;1914;1931;PA;Vertical Envelopment Doctrine;Medium;8009;X
