U91;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
1270036;Head of Military Intelligence;Jaber II Al-Sabah;1915;1917;PA;Logistics Specialist;Very High;unknown;X
1270037;Chief of Staff;Jaber II Al-Sabah;1915;1917;PA;School of Defence;Very High;unknown;X
1270038;Chief of Army;Jaber II Al-Sabah;1915;1917;PA;Guns and Butter Doctrine;Very High;unknown;X
1270041;Head of State;Salim Al-Mubarak Al-Sabah;1917;1921;PA;Powerhungry Demagogue;Very High;6054;X
1270042;Head of Government;Salim Al-Mubarak Al-Sabah;1917;1921;PA;Flamboyant Tough Guy;Very High;6054;X
1270043;Foreign Minister;Salim Al-Mubarak Al-Sabah;1917;1921;PA;Ideological Crusader;Very High;6054;X
1270044;Minister of Armament;Salim Al-Mubarak Al-Sabah;1917;1921;PA;laissez-faire capitalist;Very High;6054;X
1270045;Minister of Security;Salim Al-Mubarak Al-Sabah;1917;1921;PA;Prince of Terror;Very High;6054;X
1270046;Head of Military Intelligence;Salim Al-Mubarak Al-Sabah;1917;1921;PA;Logistics Specialist;Very High;6054;X
1270047;Chief of Staff;Salim Al-Mubarak Al-Sabah;1917;1921;PA;School of Defence;Very High;6054;X
1270048;Chief of Army;Salim Al-Mubarak Al-Sabah;1917;1921;PA;Guns and Butter Doctrine;Very High;6054;X
1270051;Head of State;Ahmad Al-Jaber Al-Sabah;1921;1950;PA;Powerhungry Demagogue;Very High;6055;X
1270052;Head of Government;Ahmad Al-Jaber Al-Sabah;1921;1950;PA;Flamboyant Tough Guy;Very High;6055;X
1270053;Foreign Minister;Ahmad Al-Jaber Al-Sabah;1921;1950;PA;Ideological Crusader;Very High;6055;X
1270054;Minister of Armament;Ahmad Al-Jaber Al-Sabah;1921;1950;PA;laissez-faire capitalist;Very High;6055;X
1270055;Minister of Security;Ahmad Al-Jaber Al-Sabah;1921;1950;PA;Prince of Terror;Very High;6055;X
1270056;Head of Military Intelligence;Ahmad Al-Jaber Al-Sabah;1921;1950;PA;Logistics Specialist;Very High;6055;X
1270057;Chief of Staff;Ahmad Al-Jaber Al-Sabah;1921;1950;PA;School of Defence;Very High;6055;X
1270058;Chief of Army;Ahmad Al-Jaber Al-Sabah;1921;1950;PA;Guns and Butter Doctrine;Very High;6055;X
1270061;Head of Government;William Henry Irvine Shakespear;1909;1915;PA;Silent Workhorse;Very High;6056;X
1270062;Head of Government;William George Grey ;1915;1916;PA;Silent Workhorse;Very High;unknown;X
1270063;Head of Government;Robert Edward Archibald Hamilton;1916;1918;PA;Ambitious Union Boss;Very High;unknown;X
1270064;Head of Government;Daniel Vincent MacCollum;1918;1920;PA;Smiling Oilman;Very High;unknown;X
1270065;Head of Government;James Carmichale More  ;1920;1930;PA;Corporate Suit;Very High;unknown;X
1270066;Chief of Staff;Percy Zachariah Cox;1904;1932;PA;School of Defence;Very High;6057;X
1270067;Chief of Army;Percy Zachariah Cox;1904;1932;PA;Guns and Butter Doctrine;Very High;6057;X
1270068;Chief of Navy;Percy Zachariah Cox;1904;1932;PA;Base Control Doctrine;Very High;6057;X
