ENG;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
10038;Minister of Armament;Sir John Anderson;1939;1964;SC;laissez-faire capitalist;High;M1061;X
10039;Minister of Armament;Sir Kingsley Wood;1940;1964;SC;Resource Industrialist;High;M1062;X
10040;Minister of Armament;Lord Beaverbrook;1940;1964;SC;Administrative Genius;Very High;M1063;X
10041;Minister of Armament;Richard A. Butler;1945;1964;SC;Theoretical Scientist;Very High;M1064;X
10042;Minister of Armament;Hugh Dalton;1937;1964;SD;Resource Industrialist;Medium;M1065;X
10043;Minister of Armament;Clement Attlee;1941;1964;SD;Air to Ground Proponent;Medium;M1040;X
10044;Minister of Armament;Stafford Cripps;1942;1964;SD;Air to Ground Proponent;Medium;M1024;X
10045;Minister of Armament;Oswald Mosley;1933;1964;FA;Resource Industrialist;Undying;M1012;X
10046;Minister of Armament;Alliott Vernon-Roe;1938;1964;FA;Air to Ground Proponent;High;M1069;X
10047;Minister of Armament;Neil Francis-Hawkins;1939;1964;FA;Submarine Proponent;High;M1070;X
10048;Minister of Armament;Alexander Raven-Thomson;1941;1964;FA;Strategic Air Proponent;High;M1071;X
10049;Minister of Armament;Jorian Jenks;1942;1964;FA;Battle Fleet Proponent;High;M1072;X
10050;Minister of Armament;A.J.P. Taylor;1944;1964;FA;laissez-faire capitalist;High;M1073;X
10051;Minister of Armament;Stafford Cripps;1933;1964;LWR;Theoretical Scientist;Medium;M1024;X
10052;Minister of Armament;Leslie Solley;1938;1964;ST;Resource Industrialist;Medium;M1075;X
10053;Minister of Armament;Arthur Horner;1940;1964;ST;Administrative Genius;Medium;M1076;X
10054;Minister of Armament;Jack Gaster;1941;1964;ST;Submarine Proponent;Medium;M1077;X
10055;Minister of Armament;Abe Moffatt;1942;1964;LWR;Tank Proponent;Medium;M1078;X
10056;Minister of Armament;William Rust;1944;1964;ST;Infantry Proponent;Medium;M1079;X
10057;Minister of Armament;Konnie Zilliacus;1945;1964;LWR;Air Superiority Proponent;Medium;M1080;X
10058;Minister of Security;Stanley Baldwin;1933;1964;SC;Man of the People;Medium;M1002;X
10059;Minister of Security;Sir Austen Chamberlain;1933;1964;SC;Efficient Sociopath;High;M1082;X
10060;Minister of Security;Viscount Templewood;1937;1964;SC;Man of the People;High;M1083;X
10061;Minister of Security;David Maxwell Fyfe;1941;1964;SC;Compassionate Gentleman;High;M1085;X
10062;Minister of Security;Donald Bradley Somervell;1945;1964;SC;Crime Fighter;High;M1086;X
10063;Minister of Security;Brendan Bracken;1946;1964;SC;Silent Lawyer;Very High;M1087;X
10064;Minister of Security;Herbert Morrison;1937;1964;SD;Man of the People;Very High;M1048;X
10065;Minister of Security;James Chuter Ede;1945;1964;SD;Prince of Terror;Very High;M1089;X
10066;Minister of Security;Arnold Spencer-Leese;1933;1964;FA;Prince of Terror;Low;M1015;X
10067;Minister of Security;John Beckett;1940;1964;FA;Compassionate Gentleman;Medium;M1091;X
10068;Minister of Security;Arthur Chesterton;1941;1964;FA;Back Stabber;Medium;M1092;X
10069;Minister of Security;Jeffrey Hamm;1942;1964;FA;Crime Fighter;Medium;M1093;X
10070;Minister of Security;Maxwell Knight;1943;1964;FA;Man of the People;Medium;M1094;X
10071;Minister of Security;Violet Lansbury;1933;1964;ST;Prince of Terror;Medium;M1095;X
10072;Minister of Security;Lester Hutchinson;1938;1964;ST;Back Stabber;Medium;M1096;X
10073;Minister of Security;John Platts-Mills;1933;1964;LWR;Silent Lawyer;Medium;M1097;X
10074;Minister of Security;Sydney Silvermann;1941;1964;ST;Man of the People;Medium;M1098;X
10075;Minister of Security;Barbara Castle;1945;1964;LWR;Crime Fighter;Medium;M1099;X
10076;Minister of Security;Kim Philby;1946;1964;ST;Compassionate Gentleman;Very High;M1025;X
10077;Head of Military Intelligence;Lord Cecil of Chelwood;1937;1964;SC;Industrial Specialist;Very High;M1102;X
10078;Head of Military Intelligence;Sir Robert Menzies;1940;1964;SC;Dismal Enigma;Very High;M1103;X
10079;Head of Military Intelligence;Kim Philby;1946;1964;SC;Technical Specialist;Very Low;M1105;X
10080;Head of Military Intelligence;Brendan Bracken;1937;1964;SD;Political Specialist;Very High;M1087;X
10081;Head of Military Intelligence;S.P. James;1933;1964;FA;Industrial Specialist;High;M1016;X
10082;Head of Military Intelligence;Sir Barry E. Domvile;1940;1964;FA;Naval Intelligence Specialist;High;M1019;X
10083;Head of Military Intelligence;Maxwell Knight;1942;1964;FA;Logistics Specialist;Medium;M1094;X
10084;Head of Military Intelligence;John Amery;1944;1964;FA;Dismal Enigma;Medium;M1110;X
10085;Head of Military Intelligence;William Gallacher;1933;1964;LWR;Industrial Specialist;High;M1111;X
10086;Head of Military Intelligence;Christopher Hill;1941;1964;ST;Naval Intelligence Specialist;High;M1112;X
10087;Head of Military Intelligence;Aneurin Bevan;1943;1964;LWR;Dismal Enigma;High;M1021;X
10088;Head of Military Intelligence;Anthony Blunt;1945;1964;LWR;Political Specialist;Very High;M1026;X
10089;Head of Military Intelligence;Kim Philby;1946;1964;ST;Technical Specialist;Very High;M1105;X
10090;Chief of Staff;Sir Cyril Deverell;1933;1964;ML;School of Defence;Very High;M1116;X
10091;Chief of Staff;Lord John Gort;1933;1964;ML;School of Manoeuvre;Very High;M1117;X
10092;Chief of Staff;Sir Edmund Ironside;1938;1964;ML;School of Psychology;Very High;M1118;X
10093;Chief of Staff;Sir John Dill;1939;1964;ML;School of Fire Support;Very High;M1119;X
10094;Chief of Staff;Sir Alan Brooke;1940;1964;ML;School of Mass Combat;Very High;M1120;X
10095;Chief of Staff;Sir Lionel Ismay;1937;1964;SD;School of Fire Support;Very High;M1121;X
10096;Chief of Staff;Archibald Nye;1941;1964;SD;School of Mass Combat;Very High;M1122;X
10097;Chief of Staff;Sir Bernard Montgomery;1945;1964;SL;School of Manoeuvre;Medium;M1123;X
10098;Chief of Staff;J.F.C. Fuller;1933;1964;NS;School of Manoeuvre;Medium;M1017;X
10099;Chief of Staff;Sir Barry E. Domvile;1939;1964;FA;School of Psychology;High;M1019;X
10100;Chief of Staff;Tom Wintringham;1933;1964;ST;School of Mass Combat;High;M1027;X
10101;Chief of Army;Sir Cyril Deverell;1933;1964;ML;Guns and Butter Doctrine;Very High;M1116;X
10102;Chief of Army;Lord John Gort;1937;1964;ML;Armoured Spearhead Doctrine;Very High;M1117;X
10103;Chief of Army;Sir Edmund Ironside;1939;1964;ML;Static Defence Doctrine;Very High;M1118;X
10104;Chief of Army;Sir Alan Brooke;1941;1964;ML;Decisive Battle Doctrine;Very High;M1120;X
10105;Chief of Army;Sir John Dill;1937;1964;ML;Elastic Defence Doctrine;Very High;M1119;X
10106;Chief of Army;Sir Bernard Montgomery;1945;1964;SL;Armoured Spearhead Doctrine;Medium;M1123;X
10107;Chief of Army;J.F.C. Fuller;1933;1964;NS;Armoured Spearhead Doctrine;Medium;M1017;X
10108;Chief of Army;Bill Alexander;1933;1964;ST;Static Defence Doctrine;High;M1028;X
10109;Chief of Navy;Sir Roger Backhouse;1937;1964;ML;Indirect Approach Doctrine;High;M1137;X
10110;Chief of Navy;Sir Andrew Cunningham;1943;1964;ML;Power Projection Doctrine;High;M1138;X
10111;Chief of Navy;Sir John Cunningham;1945;1964;ML;Open Seas Doctrine;Very High;M1139;X
10112;Chief of Navy;Sir Dudley Pound;1937;1964;ML;Decisive Naval Battle Doctrine;Very High;M1140;X
10113;Chief of Navy;Sir Barry E. Domvile;1933;1964;FA;Power Projection Doctrine;High;M1019;X
10114;Chief of Navy;E.H. Cole;1942;1964;NS;Open Seas Doctrine;High;M1143;X
10115;Chief of Navy;Fred Copeman;1933;1964;ST;Indirect Approach Doctrine;High;M1029;X
10116;Chief of Navy;Harry Pollitt;1939;1964;ST;Decisive Naval Battle Doctrine;High;M1022;X
10117;Chief of Air Force;Sir Charles Portal;1933;1964;ML;Carpet Bombing Doctrine;Very High;M1147;X
10118;Chief of Air Force;Sir Arthur Tedder;1945;1964;ML;Army Aviation Doctrine;Very High;M1148;X
10119;Chief of Air Force;Sir Cyril Newall;1937;1964;ML;Air Superiority Doctrine;Very High;M1149;X
10120;Chief of Air Force;Sir John Chamier;1933;1964;FA;Vertical Envelopment Doctrine;High;M1020;X
10121;Chief of Air Force;Lord Williams Sempill;1939;1964;FA;Carpet Bombing Doctrine;High;M1152;X
10122;Chief of Air Force;Donald Marendaz;1941;1964;FA;Air Superiority Doctrine;High;M1153;X
10123;Chief of Air Force;Railton Freeman;1943;1964;FA;Naval Aviation Doctrine;High;M1154;X
10124;Chief of Air Force;John Strachey;1933;1964;ST;Carpet Bombing Doctrine;High;M1030;X
10125;Head of Government;Lord Halifax;1940;1964;SC;Happy Amateur;Very High;M1045;X
10126;Foreign Minister;Viscount Templewood;1939;1964;SC;Apologetic Clerk;High;M1083;X
10127;Minister of Security;Sir John Anderson;1939;1964;SC;Compassionate Gentleman;High;M1061;X
10128;Head of Government;David Lloyd George;1940;1964;SD;Naive Optimist;Very High;M1160;X
10129;Foreign Minister;Sir Archibald Sinclair;1940;1964;SD;Great Compromiser;High;M1161;X
10130;Minister of Security;Leo Amery;1940;1964;SD;Crime Fighter;High;M1162;X
10131;Minister of Armament;Leslie Hore-Belisha;1937;1964;SC;Infantry Proponent;Low;M1163;X
10132;Chief of Army;Sir Harold Alexander;1944;1964;ML;Decisive Battle Doctrine;High;L1006;X
10133;Chief of Army;Miles Dempsey;1944;1964;ML;Armoured Spearhead Doctrine;High;L1099;X
10134;Chief of Staff;Hastings Ismay;1945;1964;ML;School of Defence;High;L1176;X
10135;Chief of Army;Lord Archibald Wavell;1941;1964;ML;Guns and Butter Doctrine;High;L1311;X
10136;Chief of Air Force;Sir Hugh Dowding;1933;1964;ML;Air Superiority Doctrine;Very High;L1435;X
10137;Chief of Air Force;Arthur Harris;1941;1964;ML;Carpet Bombing Doctrine;Very High;L1447;X
10138;Chief of Air Force;Sir Trafford Leigh-Mallory;1942;1964;ML;Air Superiority Doctrine;High;L1456;X
10139;Chief of Air Force;Sir William Sholto Douglas;1944;1964;SL;Air Superiority Doctrine;High;L1479;X
10140;Head of Military Intelligence;Sir Stewart Menzies;1939;1964;SC;Political Specialist;High;M1172;X
10141;Minister of Armament;Sir Ernle Chatfield;1939;1964;SC;Battle Fleet Proponent;High;M1009;X
10142;Minister of Armament;Sir Thomas Inskip;1933;1964;SC;Air Superiority Proponent;Very High;M1174;X
10143;Minister of Armament;Sir Andrew Duncan;1940;1964;SC;Resource Industrialist;High;M1175;X
10144;Minister of Armament;Sir John Moore-Brabazon;1941;1964;SC;Air Superiority Proponent;Medium;M1176;X
10145;Minister of Armament;Sir Hibbert Cross;1939;1964;SC;laissez-faire capitalist;High;M1177;X
10146;Minister of Armament;Alfred Duff Cooper;1933;1964;SC;Battle Fleet Proponent;Medium;M1178;X
10147;Minister of Armament;Oliver Stanley;1940;1964;SC;Military Entrepreneur;Very High;M1179;X
10148;Minister of Armament;Henry Margesson;1940;1964;SC;Resource Industrialist;Very High;M1180;X
10149;Minister of Armament;Sir Percy Grigg;1942;1964;SC;laissez-faire capitalist;High;M1181;X
10150;Head of State;Elizabeth II;1952;1964;SC;Popular Figurehead;High;M1182;X
10151;Head of State;Elizabeth II;1952;1964;SD;Popular Figurehead;High;M1182;X
10152;Minister of Armament;Albert V. Alexander;1946;1964;SD;Resource Industrialist;Medium;M1184;X
10153;Minister of Armament;Emanuel Shinwell;1950;1964;SD;Theoretical Scientist;Medium;M1185;X
10154;Minister of Armament;Winston Churchill;1951;1964;SC;Theoretical Scientist;Medium;2430;X
10155;Minister of Armament;Sir Harold Alexander;1952;1964;SC;Tank Proponent;Medium;L1006;X
10156;Chief of Air Force;Sir Frederick Bowhill;1933;1964;ML;Naval Aviation Doctrine;High;L1417;X
10157;Head of State;George VI;1933;1964;SD;Benevolent Gentleman;High;M1033;X
10158;Head of State;Elizabeth II;1952;1964;SD;Popular Figurehead;High;M1182;X
10159;Head of Government;Anthony Eden;1955;1964;SC;Political Protege;High;M1003;X
10160;Head of Government;Harold MacMillan;1957;1964;SC;Corporate Suit;High;M1192;X
10161;Head of Government;Alec Douglas-Home;1963;1964;SC;Happy Amateur;High;M1193;X
10162;Head of Government;Hugh Gaitskell;1954;1964;SD;Naive Optimist;High;M1194;X
10163;Head of Government;Harold Wilson;1963;1964;SD;Ambitious Union Boss;High;M1195;X
10164;Foreign Minister;Harold MacMillan;1955;1964;SC;Biased Intellectual;Medium;M1192;X
10165;Foreign Minister;Alec Douglas-Home;1960;1964;SC;Great Compromiser;Medium;M1193;X
10166;Foreign Minister;Richard A. Butler;1963;1964;SC;The Cloak N Dagger Schemer;Medium;M1064;X
10167;Foreign Minister;Alfred Robens;1953;1964;SD;Apologetic Clerk;Medium;M1199;X
10168;Foreign Minister;Aneurin Bevan;1956;1964;SD;Ideological Crusader;Medium;M1021;X
10169;Foreign Minister;Denis Healey;1959;1964;SD;Iron Fisted Brute;Medium;M1201;X
10170;Foreign Minister;Harold Wilson;1961;1964;SD;Ideological Crusader;Medium;M1195;X
10171;Foreign Minister;Patrick Gordon Walker;1963;1964;SD;Apologetic Clerk;Medium;M1203;X
10172;Minister of Armament;Harold MacMillan;1954;1964;SC;Resource Industrialist;Medium;M1192;X
10173;Minister of Armament;Walter Monckton;1955;1964;SC;Air Superiority Proponent;Medium;M1205;X
10174;Minister of Armament;Antony Head;1956;1964;SC;Submarine Proponent;Medium;M1206;X
10175;Minister of Armament;Duncan Sandys;1957;1964;SC;laissez-faire capitalist;Medium;M1207;X
10176;Minister of Armament;Harold Watkinson;1959;1964;SC;Infantry Proponent;Medium;M1208;X
10177;Minister of Armament;Peter Thorneycroft;1962;1964;SC;Military Entrepreneur;Medium;M1209;X
10178;Minister of Armament;Harold Wilson;1959;1964;SD;Administrative Genius;Medium;M1195;X
10179;Minister of Armament;Denis Healey;1961;1964;SD;Resource Industrialist;Medium;M1201;X
10180;Minister of Security;Gwilym Lloyd-George;1954;1964;SC;Prince of Terror;High;M1212;X
10181;Minister of Security;Richard A. Butler;1957;1964;SC;Back Stabber;High;M1064;X
10182;Minister of Security;Henry Brooke;1962;1964;SC;Efficient Sociopath;High;M1214;X
10183;Minister of Security;Patrick Gordon Walker;1956;1964;SD;Silent Lawyer;High;M1203;X
10184;Minister of Security;Frank Pakenham;1961;1964;SD;Man of the People;High;M1216;X
10185;Head of Military Intelligence;Antony Head;1951;1964;SC;Industrial Specialist;High;M1206;X
10186;Head of Military Intelligence;John Hugh Hare;1957;1964;SC;Naval Intelligence Specialist;High;M1218;X
10187;Head of Military Intelligence;Christopher Soames;1958;1964;SC;Political Specialist;High;M1219;X
10188;Head of Military Intelligence;John Profumo;1960;1964;SC;Dismal Enigma;High;M1220;X
10189;Head of Military Intelligence;James Ramsden;1963;1964;SC;Technical Specialist;High;M1221;X
10190;Head of Military Intelligence;James Callaghan;1952;1964;SD;Industrial Specialist;Very High;M1222;X
10191;Chief of Staff;Sir William Slim;1948;1964;ML;School of Psychology;Medium;L1281;X
10192;Chief of Staff;Sir John Harding;1952;1964;ML;School of Manoeuvre;Medium;L1153;X
10193;Chief of Staff;Sir Gerald Templer;1955;1964;ML;School of Mass Combat;Medium;L1294;X
10194;Chief of Staff;Sir Francis Festing;1958;1964;ML;School of Defence;Medium;L1120;X
10195;Chief of Staff;Sir Richard Amyatt-Hull;1961;1964;ML;School of Fire Support;Medium;L1009;X
10196;Chief of Army;Sir William Slim;1948;1964;ML;Elastic Defence Doctrine;Medium;L1281;X
10197;Chief of Army;Sir John Harding;1952;1964;ML;Decisive Battle Doctrine;Medium;L1153;X
10198;Chief of Army;Sir Gerald Templer;1955;1964;ML;Guns and Butter Doctrine;Medium;L1294;X
10199;Chief of Army;Sir Francis Festing;1958;1964;ML;Static Defence Doctrine;Medium;L1120;X
10200;Chief of Army;Sir Richard Amyatt-Hull;1961;1964;ML;Armoured Spearhead Doctrine;Medium;L1009;X
10201;Chief of Navy;Sir R.B. Bruce-Fraser;1948;1964;ML;Base Control Doctrine;Very High;L1328;X
10202;Chief of Navy;Sir Rhoderick McGrigor;1951;1964;ML;Power Projection Doctrine;Very High;M1235;X
10203;Chief of Navy;Francis Earl Mountbatten;1955;1964;ML;Decisive Naval Battle Doctrine;Very High;M1236;X
10204;Chief of Navy;Sir David Luce;1960;1964;ML;Indirect Approach Doctrine;Very High;M1237;X
10205;Chief of Air Force;Sir John Slessor;1948;1964;ML;Air Superiority Doctrine;High;L1480;X
10206;Chief of Air Force;Sir William Dickson;1953;1964;ML;Carpet Bombing Doctrine;High;M1240;X
10207;Chief of Air Force;Sir Dermot Boyle;1956;1964;ML;Vertical Envelopment Doctrine;High;M1241;X
10208;Chief of Air Force;Sir Thomas Pike;1959;1964;ML;Naval Aviation Doctrine;High;M1242;X
10209;Chief of Air Force;Sir Charles Elworthy;1963;1964;ML;Army Aviation Doctrine;High;M1243;X
10210;Chief of Air Force;Murray Sueter;1914;1933;ML;Naval Aviation Doctrine;Very High;unknown;X
10211;Chief of Air Force;David Henderson;1914;1933;ML;Army Aviation Doctrine;High;3747;X
10212;Chief of Air Force;Hugh Trenchard;1914;1933;PA;Air Superiority Doctrine;Very High;3748;X
10214;Chief of Air Force;Charles Vaughan-Lee;1917;1933;ML;Naval Aviation Doctrine;Very High;3749;X
10215;Chief of Air Force;Frederick Sykes;1918;1933;ML;Army Aviation Doctrine;Very High;2431;X
10216;Chief of Army;Frederick Roberts;1914;1933;ML;Elastic Defence Doctrine;Very High;2432;X
10217;Chief of Army;Neville Lyttleton;1914;1933;ML;Elastic Defence Doctrine;Very High;2433;X
10218;Chief of Army;William Nicholson;1914;1933;ML;Decisive Battle Doctrine;Very High;2434;X
10219;Chief of Army;Herbert Kitchener;1914;1933;ML;Guns and Butter Doctrine;Very High;2435;X
10220;Chief of Army;Charles Douglas;1914;1933;ML;static defence doctrine;Very High;2436;X
10221;Chief of Army;Douglas Haig;1914;1933;PA;Decisive Battle Doctrine;Very High;2437;X
10222;Chief of Army;James Wolfe Murray;1914;1933;ML;elastic defence doctrine;Very High;2438;X
10223;Chief of Army;John French;1914;1933;ML;Decisive Battle Doctrine;Very High;2439;X
10224;Chief of Army;Archibald Murray;1915;1933;ML;elastic defence doctrine;Very High;2440;X
10225;Chief of Army;William Robertson;1915;1933;ML;Decisive Battle Doctrine;Very High;2441;X
10226;Chief of Army;Henry Wilson;1918;1933;ML;elastic defence doctrine;Medium;2442;X
10227;Chief of Army;Frederick Lambart;1922;1933;ML;static defence doctrine;High;2443;X
10228;Chief of Navy;Walter Kerr;1914;1933;ML;Decisive Naval Battle Doctrine;High;2444;X
10229;Chief of Navy;John Fisher;1914;1933;ML;Decisive Naval Battle Doctrine;High;2445;X
10230;Chief of Navy;Arthur Wilson;1914;1933;ML;Decisive Naval Battle Doctrine;High;2446;X
10231;Chief of Navy;Francis Bridgeman;1914;1933;ML;Decisive Naval Battle Doctrine;High;2447;X
10232;Chief of Navy;Louis Alexander Mountbatten;1914;1933;ML;Decisive Naval Battle Doctrine;High;2448;X
10233;Chief of Navy;David Beatty;1914;1933;PA;Decisive Naval Battle Doctrine;High;2449;X
10234;Chief of Navy;Henry Jackson;1915;1933;ML;Open Seas Doctrine;Very High;2450;X
10235;Chief of Navy;John Jellicoe;1916;1933;ML;Open Seas Doctrine;Very High;2451;X
10236;Chief of Navy;Rosslyn Wemyss;1917;1933;ML;Base Control Doctrine;High;2452;X
10238;Chief of Navy;Hedworth Meux;1914;1933;SL;Open Seas Doctrine;Very High;2453;X
10239;Chief of Staff;Frederick Roberts;1914;1933;ML;School of Mass Combat;Very High;2432;X
10240;Chief of Staff;Neville Lyttleton;1914;1933;ML;School of Psychology;Very High;2433;X
10241;Chief of Staff;William Nicholson;1914;1933;ML;School of Defence;Very High;2434;X
10242;Chief of Staff;Herbert Kitchener;1914;1933;ML;School of Mass Combat;Very High;2435;X
10243;Chief of Staff;Charles Douglas;1914;1933;ML;school of defence;Very High;2436;X
10244;Chief of Staff;James Wolfe Murray;1914;1933;ML;School of Psychology;Very High;2438;X
10245;Chief of Staff;John French;1914;1933;ML;School of Fire Support;Very High;2439;X
10246;Chief of Staff;Archibald Murray;1915;1933;ML;School of Fire Support;Very High;2440;X
10247;Chief of Staff;William Robertson;1915;1933;ML;School of Mass Combat;Very High;2441;X
10248;Chief of Staff;Henry Wilson;1918;1933;ML;School of Fire Support;Medium;2442;X
10249;Chief of Staff;Frederick Lambart;1922;1933;ML;school of defence;High;2443;X
10250;Foreign Minister;Edward Grey;1914;1933;SL;Great Compromiser;High;2454;X
10251;Foreign Minister;Henry Petty-FitzMaurice;1914;1933;ML;Great Compromiser;High;2455;X
10252;Foreign Minister;George Curzon;1914;1933;ML;Biased Intellectual;High;2456;X
10253;Foreign Minister;Harry Pollitt;1914;1933;ST;Ideological Crusader;Very High;2457;X
10254;Foreign Minister;Norman Angell;1914;1933;LWR;Apologetic Clerk;Low;2458;X
10255;Foreign Minister;Frederick Maurice;1914;1933;PA;General Staffer;High;2459;X
10256;Foreign Minister;Richard Burdon Haldane;1914;1933;SL;Great Compromiser;Very High;2460;X
10257;Foreign Minister;Arthur Balfour;1916;1933;ML;Ideological Crusader;Very High;2461;X
10258;Foreign Minister;Robert Crewe-Milnes;1919;1933;SL;Great Compromiser;High;2674;X
10259;Foreign Minister;Austen Chamberlain;1924;1933;ML;Great Compromiser;High;2462;X
10260;Foreign Minister;Ramsay MacDonald;1924;1933;SD;Ideological Crusader;High;2463;X
10261;Head of Government;Archibald Philip Primrose;1914;1933;SL;Naive Optimist;High;2464;X
10262;Head of Government;Arthur Balfour;1914;1933;ML;Naive Optimist;High;2461;X
10263;Head of Government;Keir Hardie;1914;1933;SD;Flamboyant Tough Guy;High;2465;X
10264;Head of Government;Herbert Henry Asquith;1914;1933;SL;Silent Workhorse;High;2466;X
10265;Head of Government;Harry Pollitt;1914;1933;ST;Political Protege;High;2457;X
10266;Head of Government;Henry Petty-FitzMaurice;1914;1933;ML;Naive Optimist;High;2455;X
10267;Head of Government;David Beatty;1914;1933;PA;Old Admiral;High;2449;X
10268;Head of Government;David Lloyd George;1916;1933;SL;Flamboyant Tough Guy;High;2467;X
10269;Head of Government;Andrew Bonar Law;1922;1933;ML;Corporate Suit;High;2468;X
10270;Head of Government;Austen Chamberlain;1922;1933;ML;Silent Workhorse;High;2462;X
10271;Head of Government;Stanley Baldwin;1923;1933;ML;Backroom Backstabber;High;2469;X
10272;Head of Military Intelligence;David Henderson;1914;1933;ML;Logistics Specialist;Very High;3747;X
10273;Head of Military Intelligence;Henry Oliver;1914;1933;ML;Naval Intelligence Specialist;Very High;unknown;X
10274;Head of Military Intelligence;George MacDonogh;1914;1933;ML;Logistics Specialist;Very High;3750;X
10275;Head of Military Intelligence;James Alfred Ewing;1914;1933;ML;Naval Intelligence Specialist;Very High;2470;X
10277;Head of Military Intelligence;Mansfield Smith-Cumming;1914;1933;PA;Dismal Enigma;Very High;2471;X
10278;Head of Military Intelligence;William Hall;1914;1933;ML;Naval Intelligence Specialist;Very High;3751;X
10279;Head of Military Intelligence;Vernon Kell;1914;1933;ML;Logistics Specialist;Very High;2472;X
10280;Head of Military Intelligence;William Gallacher;1914;1933;ST;Political Specialist;High;3752;X
10281;Head of Military Intelligence;John Charteris;1915;1933;ML;Dismal Enigma;Very High;2473;X
10282;Head of State;George V;1914;1933;ML;Stern Imperialist;High;2474;X
10283;Head of State;Tom Mann;1914;1933;ST;Die-hard Reformer;High;2475;X
10284;Minister of Armament;Henry Petty-FitzMaurice;1914;1933;ML;Infantry Proponent;High;2455;X
10285;Minister of Armament;Michael Hicks Beach;1914;1933;ML;Laissez-Faire Capitalist;High;2476;X
10286;Minister of Armament;John Morley;1914;1933;SL;Laissez-Faire Capitalist;High;2477;X
10287;Minister of Armament;St John Brodrick;1914;1933;ML;Infantry Proponent;High;2478;X
10288;Minister of Armament;Herbert Henry Asquith;1914;1933;SL;Resource Industrialist;Low;2466;X
10289;Minister of Armament;Austen Chamberlain;1914;1919;ML;Resource Industrialist;High;2462;X
