AUS;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
115076;Chief of Staff;Alfred Hubicki;1940;1964;NS;School of Psychology;Medium;M23107;X
115077;Chief of Staff;Eugen Beyer;1942;1964;NS;School of Fire Support;Medium;M23018;X
115078;Chief of Staff;Wilhelm Zehner;1938;1964;SC;School of Mass Combat;High;M23008;X
115079;Chief of Staff;Eric von Klopfenburg;1945;1964;SC;School of Defence;High;M23039;X
115080;Chief of Staff;Adolf Schärf;1945;1964;SD;School of Fire Support;Medium;M23022;X
115081;Chief of Staff;Ferdinand Strasser;1938;1964;LE;School of Manoeuvre;High;M23037;X
115082;Chief of Army;Eric von Klopfenburg;1945;1964;PA;Static Defence Doctrine;High;M23039;X
115083;Chief of Army;O. Meixner von Zweienstamm;1938;1964;FA;Guns and Butter Doctrine;Medium;M23103;X
115084;Chief of Army;Richard Martinek;1941;1964;FA;Elastic Defence Doctrine;Medium;M23116;X
115085;Chief of Army;Eugen Beyer;1938;1964;NS;Elastic Defence Doctrine;High;M23018;X
115086;Chief of Army;Lothar Rendulic;1942;1964;NS;Armoured Spearhead Doctrine;Medium;M23118;X
115087;Chief of Army;Heinrich Gleissner;1938;1964;SC;Decisive Battle Doctrine;Very Low;M23028;X
115088;Chief of Army;Richard Bernaschek;1938;1964;LE;Static Defence Doctrine;Medium;M23038;X
115089;Chief of Navy;Otto I von Habsburg;1945;1964;PA;Indirect Approach Doctrine;Very High;M23041;X
115090;Chief of Navy;Ignaz Seipel;1938;1964;FA;Power Projection Doctrine;High;M23124;X
115091;Chief of Navy;Emil Hickmann;1938;1964;NS;Open Seas Doctrine;Low;M23017;X
115092;Chief of Navy;Robert Winterstein;1938;1964;SC;Indirect Approach Doctrine;Medium;M23025;X
115093;Chief of Navy;Eric von Klopfenburg;1938;1964;LE;Open Seas Doctrine;High;M23039;X
115094;Chief of Navy;Josef Teufl;1945;1964;ST;Base Control Doctrine;Medium;M23047;X
115095;Chief of Air Force;W. Ehrenburg von Lüttitz;1945;1964;PA;Army Aviation Doctrine;High;M23082;X
115096;Chief of Air Force;Otto Schöbel;1938;1964;FA;Vertical Envelopment Doctrine;High;M23030;X
115097;Chief of Air Force;Josef Bürckel;1942;1964;NS;Carpet Bombing Doctrine;High;M23042;X
115098;Chief of Air Force;Julius Yllam;1938;1964;SC;Air Superiority Doctrine;Low;M23040;X
115099;Chief of Air Force;Egon Berger-Waldenegg;1942;1964;SC;Carpet Bombing Doctrine;High;M23003;X
115100;Head of Military Intelligence;Kurt Schuschnigg;1937;1964;FA;Political Specialist;Undying;M23002;X
115101;Chief of Staff;Kurt Schuschnigg;1933;1964;FA;School of Fire Support;Undying;M23002;X
115102;Head of State;Alfred Hubicki;1945;1964;NS;Stern Imperialist;High;M23107;X
115103;Chief of Air Force;Artur Breycha-Vauthier;1942;1964;LE;Naval Aviation Doctrine;Low;M23136;X
115104;Head of State;Karl Renner;1938;1964;SC;Benevolent Gentleman;High;M23021;X
115105;Head of State;Theodor Körner;1951;1964;SC;Weary Stiffneck;High;M23144;X
115106;Head of State;Theodor Körner;1951;1964;SD;Weary Stiffneck;High;M23144;X
115107;Head of Government;Leopold Figl;1945;1964;SC;Happy Amateur;High;M23045;X
115108;Head of Government;Julius Raab;1951;1964;SC;Corporate Suit;Medium;M23004;X
115109;Minister of Armament;Ferdinand Graf;1945;1964;SC;laissez-faire capitalist;Medium;M23148;X
115110;Minister of Security;Josef Gerö;1945;1964;SC;Silent Lawyer;Low;M23149;X
115111;Minister of Security;Otto Tschabeck;1949;1964;SC;Man of the People;Low;M23150;X
115112;Head of Military Intelligence;Oskar Helmer;1945;1964;ML;Dismal Enigma;High;M23151;X
115113;Foreign Minister;Adolf Schärf;1945;1964;SD;Biased Intellectual;Very High;M23022;X
115114;Foreign Minister;Viktor Adler;1914;1933;SD;Great Compromiser;High;3504;X
115115;Foreign Minister;Otto Bauer;1918;1933;SD;Great Compromiser;High;3692;X
115116;Foreign Minister;Karl Renner;1919;1933;SD;Ideological Crusader;High;3693;X
115117;Foreign Minister;Michael Mayr;1920;1933;ML;Ideological Crusader;High;3694;X
115118;Foreign Minister;Johann Schober;1921;1933;SL;Great Compromiser;High;3695;X
115119;Foreign Minister;Walter Breisky;1922;1933;SL;Biased Intellectual;High;3696;X
115120;Foreign Minister;Leopold Hennet;1922;1933;SL;Great Compromiser;High;unknown;X
115121;Foreign Minister;Alfred Grünberger;1922;1933;ML;Great Compromiser;High;3697;X
115122;Foreign Minister;The Bundeskanzler;1923;1933;SL;Undistinguished Suit;High;3698;X
115123;Head of Government;Karl Renner;1916;1933;SD;Silent Workhorse;High;3693;X
115124;Head of Government;Michael Mayr;1920;1933;ML;Naive Optimist;High;3694;X
115125;Head of Government;Johann Schober;1921;1933;SL;Political Protege;High;3695;X
115126;Head of Government;Walter Breisky;1922;1933;SL;Happy Amateur;High;3696;X
115127;Head of Government;Ignaz Seipel;1922;1933;ML;Happy Amateur;High;M23124;X
115128;Head of Government;Rudolf Ramek;1924;1933;ML;Naive Optimist;High;3699;X
115129;Head of State;Directory of the Council of State;1899;1964;SL;Undistinguished Suit;High;3700;X
115130;Head of State;Karl Seitz;1916;1933;SD;Insignificant Layman;High;3701;X
115131;Head of State;Michael Hainisch;1919;1933;ML;Insignificant Layman;High;3702;X
115132;Minister of Armament;Otto Steinwender;1914;1933;SD;Resource Industrialist;Medium;3703;X
115133;Minister of Armament;Josef Schumpeter;1919;1933;SD;Administrative Genius;Medium;3704;X
115134;Minister of Armament;Richard Reisch;1919;1933;SD;Resource Industrialist;Medium;unknown;X
115135;Minister of Armament;Ferdinand Grimm;1920;1933;ML;Administrative Genius;Medium;unknown;X
115136;Minister of Armament;Alfred Gürtler;1921;1933;SL;Administrative Genius;Medium;3705;X
115137;Minister of Armament;Johann Schober;1922;1933;SL;Resource Industrialist;Medium;3695;X
115138;Minister of Armament;August Ségur;1922;1933;SL;Resource Industrialist;Medium;3706;X
115139;Minister of Armament;Viktor Kienböck;1922;1933;SL;Administrative Genius;Medium;3707;X
115140;Minister of Armament;Jakob Ahrer;1922;1933;ML;Administrative Genius;Medium;unknown;X
115141;Minister of Security;Heinrich Mataja;1914;1933;SD;Compassionate Gentleman;High;3708;X
115142;Minister of Security;Karl Renner;1919;1933;SD;Man of the People;High;3693;X
115143;Minister of Security;Matthias Eldersch;1919;1933;SD;Silent Lawyer;High;3709;X
115144;Minister of Security;Walter Breisky;1916;1933;SD;Man of the People;High;3696;X
115145;Minister of Security;Egon Glanz;1920;1933;ML;Silent Lawyer;Medium;unknown;X
115146;Minister of Security;Leopold Waber;1921;1933;SL;Man of the People;Medium;3710;X
115147;Minister of Security;Johann Schober;1922;1933;SL;Compassionate Gentleman;Medium;3695;X
115148;Minister of Security;Walter Breisky;1922;1933;SL;Silent Lawyer;Medium;3696;X
115149;Minister of Security;Felix Frank;1922;1933;SL;Compassionate Gentleman;Medium;3711;X
115150;Head of Government;Engelbert Dolfuss;1932;1963;FA;Flamboyant Tough Guy;High;8292;x
