MEX;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
170227;Minister of Armament;Miguel Alessio Robles;1922;1930;SD;Air Superiority Proponent;Medium;8303;X
170228;Minister of Armament;Manuel Pérez Treviño;1923;1930;SD;Battle Fleet Proponent;Medium;7278;X
170229;Minister of Armament;Luis Napoleón Morones;1924;1930;SD;Infantry Proponent;Medium;7264;X
170230;Minister of Security;Rafael Zubarán Capmany;1913;1930;SD;Compassionate Gentleman;Medium;8333;X
170231;Minister of Security;Adolfo de la Huerta;1915;1930;SL;Crime Fighter;Medium;901;X
170232;Minister of Security;Manuel Aguirre Berlanga;1917;1930;ML;Efficient Sociopath;Medium;7271;X
170233;Minister of Security;Gilberto Valenzuela;1920;1930;SL;Man of the People;Medium;unknown;X
170234;Minister of Security; José Inocente Lugo;1920;1930;SL;Prince of Terror;Medium;7239;X
170235;Minister of Security;Plutarco Elías Calles;1920;1930;SD;Silent Lawyer;Medium;8326;X
170236;Minister of Security;Enrique Colunga;1923;1930;SD;Back Stabber;Medium;unknown;X
170237;Minister of Security;Romeo Ortega;1924;1930;SD;Efficient Sociopath;Medium;unknown;X
170239;Chief of Staff;Eduardo Hay;1914;1930;ML;School of Manoeuvre;Medium;937;X
170240;Chief of Staff;Jacinto Blas Treviño;1914;1930;SL;School of Defence;Medium;7227;X
170241;Chief of Staff;Ignacio L. Pesqueira;1914;1930;ML;School of Psychology;Medium;7223;X
170242;Chief of Staff;Álvaro Obregón;1916;1928;SD;School of Mass Combat;Medium;8366;X
170243;Chief of Staff;Jesús Agustín Castro;1917;1930;ML;School of Fire Support;Medium;7231;X
170244;Chief of Staff;Juan José Ríos;1918;1930;ML;School of Manoeuvre;Medium;7257;X
170245;Chief of Staff;Francisco L. Urquizo;1920;1930;ML;School of Defence;Medium;unknown;X
170246;Chief of Staff;Plutarco Elías Calles;1920;1930;SD;School of Psychology;Medium;8327;X
170247;Chief of Staff;Benjamín Hill;1920;1920;SD;School of Mass Combat;Medium;918;X
170248;Chief of Staff;Enrique Estrada Reynoso;1920;1930;SD;School of Fire Support;Medium;1737;X
170249;Chief of Staff;Francisco Roque Serrano;1922;1927;SD;School of Manoeuvre;Medium;unknown;X
170250;Chief of Staff;Joaquín Amaro Domínguez;1924;1930;SD;School of Defence;Medium;7235;X
170252;Chief of Army;Eduardo Hay;1914;1930;ML;Armoured Spearhead Doctrine;Medium;937;X
170253;Chief of Army;Jacinto Blas Treviño;1914;1930;SL;Decisive Battle Doctrine;Medium;7227;X
170254;Chief of Army;Ignacio L. Pesqueira;1914;1930;ML;Static Defence Doctrine;Medium;7223;X
170255;Chief of Army;Álvaro Obregón;1916;1928;SD;elastic defence doctrine;Medium;8366;X
170256;Chief of Army;Jesús Agustín Castro;1917;1930;ML;Guns and Butter Doctrine;Medium;7231;X
170257;Chief of Army;Juan José Ríos;1918;1930;ML;Armoured Spearhead Doctrine;Medium;7257;X
170258;Chief of Army;Francisco L. Urquizo;1920;1930;ML;Decisive Battle Doctrine;Medium;unknown;X
170259;Chief of Army;Plutarco Elías Calles;1920;1930;SD;Static Defence Doctrine;Medium;8327;X
170260;Chief of Army;Benjamín Hill;1920;1920;SD;elastic defence doctrine;Medium;918;X
170261;Chief of Army;Enrique Estrada Reynoso;1920;1930;SD;Guns and Butter Doctrine;Medium;1737;X
170262;Chief of Army;Francisco Roque Serrano;1922;1927;SD;Armoured Spearhead Doctrine;Medium;unknown;X
170263;Chief of Army;Joaquín Amaro Domínguez;1924;1930;SD;Decisive Battle Doctrine;Medium;7235;X
170265;Chief of Navy;Eduardo Hay;1914;1930;ML;Open Seas Doctrine;Medium;937;X
170266;Chief of Navy;Jacinto Blas Treviño;1914;1930;SL;Decisive Naval Battle Doctrine;Medium;7227;X
170267;Chief of Navy;Ignacio L. Pesqueira;1914;1930;ML;Power Projection Doctrine;Medium;7223;X
170268;Chief of Navy;Álvaro Obregón;1916;1928;SD;Indirect Approach Doctrine;Medium;8366;X
170269;Chief of Navy;Jesús Agustín Castro;1917;1930;ML;Base Control Doctrine;Medium;7231;X
170270;Chief of Navy;Juan José Ríos;1918;1930;ML;Open Seas Doctrine;Medium;7257;X
170271;Chief of Navy;Francisco L. Urquizo;1920;1930;ML;Decisive Naval Battle Doctrine;Medium;unknown;X
170272;Chief of Navy;Plutarco Elías Calles;1920;1930;SD;Power Projection Doctrine;Medium;8327;X
170273;Chief of Navy;Benjamín Hill;1920;1920;SD;Indirect Approach Doctrine;Medium;918;X
170274;Chief of Navy;Enrique Estrada Reynoso;1920;1930;SD;Base Control Doctrine;Medium;1737;X
170275;Chief of Navy;Francisco Roque Serrano;1922;1927;SD;Open Seas Doctrine;Medium;unknown;X
170276;Chief of Navy;Joaquín Amaro Domínguez;1924;1930;SD;Decisive Naval Battle Doctrine;Medium;7235;X
170277;Chief of Air Force;Alberto Salinas Carranza;1914;1930;ML;Army Aviation Doctrine;Medium;904;X
170278;Head of Military Intelligence;Eduardo Hay;1913;1930;ML;Naval Intelligence Specialist;Medium;937;X
170279;Head of Military Intelligence;Álvaro Obregón;1913;1930;SD;Technical Specialist;Medium;8366;X
170280;Head of Military Intelligence;Jacinto Blas Treviño;1913;1928;SL;Logistics Specialist;Medium;7227;X
170281;Head of State;Ignacio Bonillas Frajio;1920;1930;SL;Weary Stiffneck;Medium;8375;X
170282;Head of Government;Ignacio Bonillas Frajio;1920;1930;SL;Naive Optimist;Medium;8375;X
