##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;;;;;;;;;;X
##;§Y = 208,232,248;;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
ALLIANCE_ENTENTE;T. Entente;Triple Entente;Triplice Intesa;Triple Entente;Entente;Ententa;;Антанта;;;X
NPERSONALITY_MAN_OF_THE_PEOPLE;Man of the People;Homme du peuple;Uomo del popolo;Hombre del pueblo;Mann des Volkes;Ulubieniec tіumуw;;Человек из народа;;;X
NPERSONALITY_EFFICIENT_SOCIOPATH;Efficient Sociopath;Sociopathe;Sociopatico Efficiente;Sociуpata eficiente;Effizienter Soziopath;Czіowiek bez skrupuіуw;;Искусный манипулятор;;;X
NPERSONALITY_TECHNICAL_SPECIALIST;Technical Specialist;Technicien;Specialista tecnico;Especialista tйcnica;Technikspezialist;Specjalista technolog;;Технический специалист;;;X
NPERSONALITY_LOGISTICS_SPECIALIST;Logistics Specialist;Logisticien;Specialista logistico;Especialista logнstica;Logistikspezialist;Specjalista logistyk;;Специалист по тылу и снабжению;;;X
NPERSONALITY_POLITICAL_SPECIALIST;Political Specialist;Politicien;Specialista politico;Especialista polнtica;Politikspezialist;Specjalista polityk;;Специалист по тайной политике;;;X
NPERSONALITY_DISMAL_ENIGMA;Dismal Enigma;Homme de l'ombre;Losco figuro;Enigma tinieblas;Dьsteres Rдtsel;Czіowiek enigma;;Человек-загадка;;;X
NPERSONALITY_INDUSTRIAL_SPECIALIST;Industrial Specialist;Industriel;Specialista industriale;Especialista industria;Industriespezialist;Specjalista przemysіowiec;;Промышленный специалист;;;X
NPERSONALITY_NAVAL_INTELLIGENCE_SPECIALIST;Naval Intelligence Specialist;Officier de renseignement naval;Specialista di spionaggio navale;Especialista intelig. naval;Marine-Aufklдrungsspezialist;Specjalista od wywiadu morskiego;;Специалист по морской разведке;;;X
NPERSONALITY_SCHOOL_OF_MANOEUVRE;School of Maneuver;Thйorie de la manoeuvre;Scuola del movimento;Escuela de maniobra;Schule des Manцvers;Szkoіa manewru;;Школа маневра;;;X
NPERSONALITY_SCHOOL_OF_FIRE_SUPPORT;School of Fire Support;Thйorie du soutien d’artillerie;Scuola del fuoco di copertura;Escuela apoyo de fuego;Schule der Feuerunterstьtzung;Szkoіa wsparcia ogniowego;;Школа огневой поддержки;;;X
NPERSONALITY_SCHOOL_OF_MASS_COMBAT;School of Mass Combat;Thйorie du combat de masse;Scuola delle battaglie di massa;Escuela combate masas;Schule des Massenkampfs;Szkoіa wojny narodu;;Школа народной войны;;;X
NPERSONALITY_SCHOOL_OF_PSYCHOLOGY;School of Psychology;Thйorie de la psychologie;Scuola di psicologia;Escuela psicologнa;Schule der Psychologie;Szkoіa psychologii;;Школа психологии;;;X
NPERSONALITY_SCHOOL_OF_DEFENCE;School of Defense;Thйorie de la dйfense;Scuola di difesa;Escuela defensa;Schule der defensiven Kriegsfьhrung;Szkoіa obrony;;Школа обороны;;;X
NPERSONALITY_ELASTIC_DEFENCE_DOCTRINE;Elastic Defense Doctrine;Doctrine de la dйfense flexible;Dottrina della difesa elastica;Doctrina defensa elбstica;elastische Verteidigungsdoktrin;Doktryna elastycznej obrony;;Доктрина гибкой обороны;;;X
NPERSONALITY_STATIC_DEFENCE_DOCTRINE;Trenches War Expert;Expert de la guerre de position;Dottrina della difesa statica;Doctrina defensa estбtica;Doktrin der statischen Verteidigung;Doktryna statycznej obrony;;Доктрина статичной обороны;;;X
NPERSONALITY_DECISIVE_BATTLE_DOCTRINE;Decisive Battle Doctrine;Doctrine de la bataille dйcisive;Dottrina della battaglia decisiva;Doctrina batalla decisiva;Entscheidungsschlacht-Doktrin;Doktryna rozstrzygaj№cej bitwy;;Доктрина решающего сражения;;;X
NPERSONALITY_ARMOURED_SPEARHEAD_DOCTRINE;Armored Spearhead Doctrine;Doctrine du fer de lance blindй;Dottrina dei reparti d'assalto corazzati;Doctrina punta ataque acoraz.;gepanzerte Lanzenspitzen-Doktrin;Doktryna pancernej piкњci;;Доктрина танкового прорыва;;;X
NPERSONALITY_GUNS_AND_BUTTER_DOCTRINE;Guns and Butter Doctrine;Doctrine du soutien logistique;Dottrina delle armi e rifornimenti;Doctrina 'caсones y mant.';Kanonen-und-Butter-Doktrin;Doktryna chleba i broni;;Доктрина личной инициативы;;;X
NPERSONALITY_OPEN_SEAS_DOCTRINE;Open Seas Doctrine;Doctrine des voies maritimes;Dottrina dei mari aperti;Doctrina mares abiertos;offene Seedokrtin;Doktryna otwartych mуrz;;Доктрина открытых морей;;;X
NPERSONALITY_DECISIVE_BATTLE_DOCTRINE2;Decisive Battle Doctrine;Doctrine de la bataille dйcisive;Dottrina della battaglia decisiva;Doctrina batalla decisiva;Entscheidungsschlacht-Doktrin;Doktryna rozstrzygaj№cej bitwy;;Доктрина решающего сражения;;;X
NPERSONALITY_POWER_PROJECTION_DOCTRINE;Power Projection Doctrine;Doctrine de la suprйmatie;Dottrina della proiezione della potenza;Doctrina 'proyec. poder';Machtprojektions-Doktrin;Doktryna demonstracji potкgi;;Доктрина концентрации силы;;;X
NPERSONALITY_INDIRECT_APPROACH_DOCTRINE;Indirect Approach Doctrine;Doctrine de l’approche indirecte;Dottrina dell'approccio indiretto;Doctrina aprox. indirecta;Doktrin des indirekten Ansatzes;Doktryna poњredniego podejњcia;;Доктрина непрямого воздействия;;;X
NPERSONALITY_BASE_CONTROL_DOCTRINE;Base Control Doctrine;Doctrine de l’attaque de bases;Dottrina del controllo delle basi;Doctrina control bases;Basiskontrolldoktrin;Doktryna ataku na bazy;;Доктрина контроля над базами;;;X
NPERSONALITY_AIR_SUPERIORITY_DOCTRINE;Air Superiority Doctrine;Doctrine de la domination aйrienne;Dottrina della superioritа aerea;Doctrina superioridad aйrea;Luftьberlegenheitsdoktrin;Doktryna przewagi powietrznej;;Доктрина превосходства в воздухе;;;X
NPERSONALITY_NAVAL_AVIATION_DOCTRINE;Naval Aviation Doctrine;Doctrine de l’aviation navale;Dottrina dell'aviazione navale;Doctrina aviaciуn naval;Marineflieger-Doktrin;Doktryna lotnictwa morskiego;;Доктрина морской авиации;;;X
NPERSONALITY_ARMY_AVIATION_DOCTRINE;Army Aviation Doctrine;Doctrine de l’aviation terrestre;Dottrina dell'aviazione dell'esercito;Doctrina aviaciуn ejйrcito;Heeresflieger-Doktrin;Doktryna nalotуw l№dowych;;Доктрина армейской авиации;;;X
NPERSONALITY_CARPET_BOMBING_DOCTRINE;Carpet Bombing Doctrine;Doctrine du tapis de bombe;Dottrina del bombardamento a tappeto;Doctrina bomb. alfombra;Flдchenbombardierungs-Doktrin;Doktryna nalotуw dywanowych;;Доктрина ковровых бомбардировок;;;X
NPERSONALITY_VERTICAL_ENVELOPMENT_DOCTRINE;Vertical Envelopment Doctrine;Doctrine de l’encerclement vertical;Dottrina dello sviluppo verticale;Doctrina desembarco vertical;Doktrin der vertikalen Umfassung;Doktryna desantu powietrznego;;Доктрина вертикального охвата;;;X
NPERSONALITY_UNDISTINGUISHED_SUIT;Undistinguished Suit;Fonctionnaire anonyme;Omuncolo insignificante;Hombre del traje gris;blasser Beamter;Szary urzкdnik;;Неприметный чиновник;;;X
NPERSONALITY_AIR_SUPERIORITY_PROPONENT;Air Superiority Proponent;Doctrine de la suprйmatie aйrienne;Sostenitore della superioritа aerea;Partidario superior. aйrea;Luftьberlegenheitsbefьrworter;Zwolennik przewagi powietrznej;;Сторонник превосходства в воздухе;;;X
NPERSONALITY_CORRUPT_KLEPTOCRAT;Corrupt Kleptocrat;Kleptocrate corrompu;Cleptocrate corrotto;Cleptуcrata corrupto;korrupter Kleptokrat;Skorumpowany urzкdnik;;Коррумпированный клептократ;;;X
NPERSONALITY_CROOKED_KLEPTOCRAT;Crooked Kleptocrat;Kleptocrate excentrique;Cleptocrate disonesto;Cleptуcrata retorcido;krimineller Kleptokrat;Wyrachowany koleњ;;Мошенник-клептократ;;;X
NPERSONALITY_POWER_HUNGRY_DEMAGOGUE;Power-Hungry Demagogue;Dйmagogue avide de pouvoir;Demagogo assetato di potere;Demagogo sediento de poder;machthungriger Demagoge;Ї№dny wіadzy demagog;;Рвущийся к власти демагог;;;X
NPERSONALITY_BARKING_BUFFOON;Barking Buffoon;Bouffon autoritaire;Buffone ciarlatano;Payaso bocazas;bellendes GroЯmaul;Szczekaj№cy bufon;;Шут гороховый;;;X
NPERSONALITY_STERN_IMPERIALIST;Stern Imperialist;Impйrialiste sйvиre;Imperialista accanito;Imperialista a ultranza;strikter Imperialist;Twardy imperialista;;Непреклонный империалист;;;X
NPERSONALITY_RUTHLESS_POWERMONGER;Ruthless Powermonger;Assoiffй de pouvoir impitoyable;Spietato mercante di potere;Dйspota implacable;rьcksichtslose Kriegstreiber;Bezlitosny tyran;;Безжалостный властолюбец;;;X
NPERSONALITY_AUTOCRATIC_CHARMER;Autocratic Charmer;Charmeur autocratique;Dispotico incantatore;Autуcrata encantador;selbstherrlicher Charmeur;Czaruj№cy autokrata;;Обаятельный деспот;;;X
NPERSONALITY_RESIGNED_GENERALISSIMO;Resigned Generalissimo;Gйnйralissime rйsignй;Ex Generalissimo;Generalнsimo en excedencia;abgedankter Generalissimo;Byіy generalissimus;;Генералиссимус в отставке;;;X
NPERSONALITY_BENEVOLENT_GENTLEMAN;Benevolent Gentleman;Gentleman bienveillant;Gentiluomo magnanimo;Caballero benevolente;gьtiger Gentleman;Їyczliwy dїentelmen;;Великодушный джентльмен;;;X
NPERSONALITY_WEARY_STIFF_NECK;Weary Stiff-Neck;Impassible fatiguй;Noioso testardo;Pisaverde cansino;mьder Aristokrat;Niezdecydowany arystokrata;;Высокомерный зануда;;;X
NPERSONALITY_INSIGNIFICANT_LAYMAN;Insignificant Layman;Amateur insignifiant;Principiante Insignificante;Ciudadanito de a pie;unbedeutender Laie;Mierny laik;;Случайное лицо;;;X
NPERSONALITY_DIE_HARD_REFORMER;Die-Hard Reformer;Rйformateur intransigeant;Riformista incallito;Reformador acйrrimo;knochenharter Reformer;Nieugiкty reformator;;Убежденный реформатор;;;X
NPERSONALITY_PIG_HEADED_ISOLATIONIST;Pig-Headed Isolationist;Isolationniste tкtu;Isolazionista;Aislacionista empecinado;stцrrischer Isolationist;Uparty izolacjonista;;Тупой изоляционист;;;X
NPERSONALITY_POPULAR_FIGUREHEAD;Popular Figurehead;Chef de file populaire;Personaggio Popolare;Adorno popular;berьhmte Gallionsfigur;Popularny figurant;;Любимец народа;;;X
NPERSONALITY_SILENT_WORKHORSE;Silent Workhorse;Bкte de travail silencieuse;Lavoratore accanito;Mulo discreto;stilles Arbeitspferd;Cichy pracuњ;;Рабочая лошадка;;;X
NPERSONALITY_NAIVE_OPTIMIST;Naive Optimist;Optimiste naпf;Ottimista Ingenuo;Optimista ingenuo;naiver Optimist;Naiwny optymista;;Простодушный оптимист;;;X
